Sample	Raw_Reads	Reads_After_Trimming	Surviving_Rate_Trimming	Reads_Aligned_to_Host	Alignment_Rate	Non_Host_Reads	Surviving_Rate_Alignment	Mapped_Reads	Raw_Mapping_Ratio
00077E61E1_S689_L002	492351	432868	87.92	247730	57.23	182774	25	55491.5	30.3607187017847
00077E61FF_S250_L001	491423	380047	77.34	247600	65.15	130062	17	39112	30.0718119050914
00077E64B3_S922_L003	1129723	976774	86.46	492098	50.38	478950	65	162832	33.9977033093225
00077E661D_S706_L002	899337	780959	86.84	194927	24.96	584766	80	188512.5	32.2372538759093
00077E6695_S964_L003	958572	809733	84.47	669244	82.65	134680	18	46063.5	34.202182952183
00077E66C2_S1045_L003	404096	346728	85.8	249852	72.06	94508	13	31830	33.6796884919795
00077E66CC_S642_L002	734360	647499	88.17	28943	4.47	618200	85	208256	33.6874797800065
00077E66F5_S122_L001	1353474	1140666	84.28	1094583	95.96	33875	4	6046	17.8479704797048
00077E6728_S366_L001	389139	294833	75.77	123711	41.96	170035	23	55499	32.6397506395742
00077E6783_S823_L003	1491934	1291780	86.58	342838	26.54	944156	129	306307	32.4424141773182
00077E68AC_S413_L002	1126163	939880	83.46	314201	33.43	621037	85	210857.5	33.9524859227389
00077E6957_S304_L001	849059	699698	82.41	122657	17.53	575433	79	176759	30.7175639909425
00077E6962_S418_L002	695153	619467	89.11	608998	98.31	4480	0	548	12.2321428571429
00077E6D3C_S999_L003	820975	706821	86.1	3463	0.49	704263	96	180400	25.6154305990802
00077E756F_S698_L002	873842	779837	89.24	592442	75.97	181659	25	62657	34.4915473497047
00077E7582_S378_L001	740594	619000	83.58	407178	65.78	207996	28	65544	31.5121444643166
00077E7587_S512_L002	81183	74414	91.66	8736	11.74	65703	9	24657	37.5279667595087
00077E7589_S29_L001	252120	208247	82.6	172428	82.8	34174	4	7807	22.8448528120794
00077E75B2_S188_L001	686120	529436	77.16	436414	82.43	88756	12	26497.5	29.8543197079634
00077E75BA_S54_L001	881647	708771	80.39	38486	5.43	670170	92	183498	27.3808138233583
00077E7602_S714_L002	611397	535966	87.66	27334	5.1	508731	70	130658	25.683121335244
00077E7608_S549_L002	710775	628129	88.37	603255	96.04	17625	2	3804.5	21.5858156028369
00077E7614_S365_L001	728139	595816	81.83	333954	56.05	259331	35	83982	32.3840960008638
00077E7616_S74_L001	568262	447207	78.7	422968	94.58	20505	2	5125	24.9939039258717
00077E7628_S69_L001	441584	346777	78.53	204806	59.06	140538	19	42249.5	30.0626876716618
00077E7649_S290_L001	581259	469066	80.7	171725	36.61	295117	40	97015.5	32.8735721764588
00077E764E_S719_L002	856898	758145	88.48	538131	70.98	214475	29	74620.5	34.7921669192214
00077E7664_S423_L002	685469	610052	89	372009	60.98	233263	32	82753.5	35.4764793387721
00077E76B0_S98_L001	739665	609977	82.47	235756	38.65	371775	51	91870	24.7111828390828
00077E76B2_S415_L002	1363461	1213540	89	6067	0.5	1207522	166	426776	35.3431241832447
00077E76DE_S519_L002	946078	839409	88.73	820606	97.76	8031	1	868.5	10.8143444153904
00077E76EC_S187_L001	1199774	1014269	84.54	965178	95.16	38222	5	8810	23.049552613678
00077E76EE_S928_L003	1162010	1034791	89.05	578448	55.9	450414	62	156961	34.848161913262
00077E7703_S551_L002	838180	749491	89.42	667796	89.1	73656	10	24860.5	33.7521722602368
00077E770C_S159_L001	683780	558918	81.74	4583	0.82	554331	76	166967	30.1204514991945
00077E7713_S461_L002	1140543	1005567	88.17	127103	12.64	877223	120	301151	34.3300392260577
00077E7714_S1112_L003	783665	695274	88.72	241538	34.74	449259	61	146230	32.5491531610942
00077E7719_S873_L003	1061709	931079	87.7	470753	50.56	455679	62	156460	34.3355739456942
00077E7728_S46_L001	596330	498437	83.58	476954	95.69	17387	2	4264	24.5240697072525
00077E7729_S100_L001	968455	796596	82.25	748003	93.9	41136	5	9623	23.3931349669389
00077E772F_S1087_L003	864301	751725	86.97	125688	16.72	624698	86	212882	34.0775862896952
00077E7741_S189_L001	1089854	906581	83.18	522643	57.65	379820	52	101864.5	26.8191511768733
00077E7750_S173_L001	478763	390868	81.64	115306	29.5	274828	37	88512.5	32.2065073427744
00077E7777_S1126_L003	972285	844367	86.84	381738	45.21	459107	63	147065.5	32.0329465680114
00077E77DB_S710_L002	914854	807493	88.26	373546	46.26	430167	59	155704	36.1961749739055
00077E77E1_S877_L003	220934	191689	86.76	108131	56.41	82287	11	26588	32.3113006914823
00077E77EC_S1101_L003	714472	622919	87.19	39617	6.36	583030	80	198540	34.0531362022537
00077E77FF_S59_L001	492876	409485	83.08	341715	83.45	63583	8	16066.5	25.2685466240976
00077E7803_S1130_L003	506029	444888	87.92	206783	46.48	235911	32	77121	32.6907181097956
00077E7811_S983_L003	1359197	1201813	88.42	1047259	87.14	144851	19	49580.5	34.2286211348213
00077E782C_S460_L002	1003422	847995	84.51	458002	54.01	383717	52	131193	34.1900410979967
00077E783B_S665_L002	685770	618104	90.13	369688	59.81	244225	33	87305.5	35.7479782987
00077E7878_S231_L001	501241	401433	80.09	237447	59.15	161577	22	53847.5	33.3262159837106
00077E788B_S477_L002	544238	484000	88.93	273169	56.44	208104	28	55156.5	26.5042959289586
00077E78A7_S369_L001	541768	444727	82.09	359784	80.9	81699	11	26060.5	31.8981872483139
00077E78B3_S899_L003	635173	544884	85.79	9644	1.77	535318	73	181927.5	33.9849397927961
00077E78BD_S874_L003	1100109	946552	86.04	108380	11.45	837642	115	238499	28.4726649332292
00077E78CA_S238_L001	661572	532141	80.44	308535	57.98	220981	30	71609	32.4050483978261
00077E78CD_S456_L002	1267125	1123161	88.64	798230	71.07	316462	43	113353.5	35.8189924856697
00077E78D5_S399_L002	875342	764433	87.33	128042	16.75	635799	87	202211.5	31.8043123691607
00077E78F0_S1116_L003	896244	780250	87.06	389656	49.94	387050	53	110635	28.5841622529389
00077E790A_S243_L001	652478	513614	78.72	342375	66.66	168034	23	58287	34.6876227430163
00077E791A_S839_L003	1030251	907348	88.07	756274	83.35	143217	19	45301	31.6310214569499
00077E794B_S538_L002	476373	419174	87.99	351435	83.84	63298	8	13429	21.2155202376062
00077E7951_S709_L002	993950	877405	88.27	246550	28.1	627106	86	209643.5	33.4303132165854
00077E7954_S671_L002	1491366	1340761	89.9	434138	32.38	899018	123	333571.5	37.1039845698306
00077E7959_S322_L001	492867	371073	75.29	364838	98.32	3326	0	786.5	23.6470234515935
00077E795D_S931_L003	1138758	987341	86.7	29324	2.97	957917	131	311351	32.5029203991578
00077E7962_S392_L002	320862	288097	89.79	278359	96.62	7062	0	1935.5	27.4072500708015
00077E796D_S47_L001	796531	662162	83.13	623690	94.19	30863	4	7261.5	23.5281728931083
