sample,Enterotype,study,sex
00077E7AB3_S1093_L003,enterotype__1,MI,M
00077E7BC8_S805_L003,enterotype__1,NY,F
00077E791A_S839_L003,enterotype__2,NY,M
00077EA12B_S963_L003,enterotype__2,NY,F
00077E9C7A_S932_L003,enterotype__1,NY,F
00077EAD05_S491_L002,enterotype__2,MI,M
00077E9940_S595_L002,enterotype__2,MI,M
00077E99B3_S1144_L003,enterotype__2,MI,M
00077EAE30_S430_L002,enterotype__1,MI,F
00077E9C45_S661_L002,enterotype__1,NY,M
00077E9AA0_S249_L001,enterotype__2,NY,F
00077E79FF_S743_L002,enterotype__1,MI,M
00077E91A0_S459_L002,enterotype__2,NY,F
00077E8EC4_S133_L001,enterotype__1,NY,F
00077E98A5_S468_L002,enterotype__2,NY,F
00077E816A_S471_L002,enterotype__1,MI,F
00077E9BA1_S1030_L003,enterotype__2,NY,F
00077E78F0_S1116_L003,enterotype__1,MI,M
00077E7951_S709_L002,enterotype__2,NY,F
00077E8E91_S713_L002,enterotype__1,MI,F
00077E9B50_S679_L002,enterotype__2,MI,F
00077E9C10_S206_L001,enterotype__1,MI,F
00077E9A95_S984_L003,enterotype__1,NY,F
00077E83BD_S552_L002,enterotype__2,MI,F
00077E9958_S385_L002,enterotype__1,MI,F
00077E7C7A_S1058_L003,enterotype__2,MI,F
00077E8E69_S494_L002,enterotype__2,MI,M
00077E7D23_S219_L001,enterotype__2,MI,M
00077E9C54_S381_L001,enterotype__1,NY,M
00077E9ADF_S11_L001,enterotype__2,MI,F
00077E840C_S645_L002,enterotype__2,MI,F
00077E82B7_S158_L001,enterotype__1,MI,M
00077E9987_S748_L002,enterotype__1,NY,F
00077E9609_S1115_L003,enterotype__2,NY,M
00077E83DD_S944_L003,enterotype__1,MI,F
00077E8D0C_S347_L001,enterotype__2,NY,F
00077E9B17_S128_L001,enterotype__2,NY,F
00077E9960_S277_L001,enterotype__1,NY,F
00077E7D0B_S305_L001,enterotype__1,MI,M
00077E9909_S387_L002,enterotype__1,NY,F
00077E7B3D_S55_L001,enterotype__2,MI,M
00077E95F4_S978_L003,enterotype__2,NY,F
00077E9056_S14_L001,enterotype__1,NY,M
00077E9AD2_S521_L002,enterotype__2,MI,F
00077E8D4E_S741_L002,enterotype__1,NY,M
00077E9603_S544_L002,enterotype__1,NY,M
00077EA2B8_S693_L002,enterotype__1,MI,M
00077E9B62_S65_L001,enterotype__2,NY,F
00077E8B85_S497_L002,enterotype__2,NY,M
00077E9E8F_S478_L002,enterotype__2,MI,M
00077E995E_S455_L002,enterotype__1,NY,M
00077E9998_S550_L002,enterotype__2,MI,F
00077E96BD_S53_L001,enterotype__1,NY,M
00077E9A08_S773_L003,enterotype__2,NY,M
00077E977A_S17_L001,enterotype__2,MI,F
00077E90B3_S939_L003,enterotype__1,NY,M
00077E9C30_S310_L001,enterotype__1,NY,F
00077E7C58_S396_L002,enterotype__1,NY,F
00077E9690_S327_L001,enterotype__1,NY,M
00077E8239_S919_L003,enterotype__1,NY,M
00077E68AC_S413_L002,enterotype__1,MI,M
00077E99B0_S30_L001,enterotype__1,NY,F
00077E9A6C_S137_L001,enterotype__2,MI,M
00077E9559_S31_L001,enterotype__2,NY,F
00077E93CD_S1017_L003,enterotype__2,MI,M
00077E98A8_S141_L001,enterotype__1,NY,F
00077E9AAF_S345_L001,enterotype__1,NY,M
00077E9B2F_S401_L002,enterotype__1,MI,M
00077E7777_S1126_L003,enterotype__2,NY,F
00077E99FA_S953_L003,enterotype__2,MI,M
00077E9BA0_S658_L002,enterotype__2,NY,M
00077E844D_S252_L001,enterotype__1,MI,M
00077E9FAB_S1146_L003,enterotype__2,MI,M
