Genome,File_type,Sequence_type,Number_of_sequences,Size,min,mean,max
GCA_000008085.1,FASTA,Protein,583,155619,38,266.9,2198
GCA_000016605.1,FASTA,Protein,2391,653912,30,273.5,1456
GCA_000145985.1,FASTA,Protein,1999,547516,30,273.9,1968
GCA_000200715.1,FASTA,Protein,1924,606238,30,315.1,11970
GCA_000204585.1,FASTA,Protein,2162,508109,30,235,1728
GCA_000220355.1,FASTA,Protein,1505,323702,21,215.1,1378
GCA_000220375.1,FASTA,Protein,1581,343733,30,217.4,1925
GCA_000224475.1,FASTA,Protein,3754,1047984,30,279.2,1736
GCA_000246735.1,FASTA,Protein,1721,647057,33,376,4513
GCA_000247545.1,FASTA,Protein,2943,730673,26,248.3,4373
GCA_000270325.1,FASTA,Protein,1855,522708,32,281.8,2595
GCA_000306725.1,FASTA,Protein,3004,881129,31,293.3,2121
GCA_000309865.1,FASTA,Protein,2414,668194,30,276.8,2345
GCA_000336895.1,FASTA,Protein,4272,1202192,26,281.4,1799
GCA_000350305.1,FASTA,Protein,1506,447057,31,296.9,2847
GCA_000375685.1,FASTA,Protein,1479,350416,23,236.9,1056
GCA_000380705.1,FASTA,Protein,1551,428253,25,276.1,2464
GCA_000387965.1,FASTA,Protein,651,183434,32,281.8,1300
GCA_000389735.1,FASTA,Protein,1668,455824,30,273.3,1511
GCA_000402075.1,FASTA,Protein,1354,341761,32,252.4,1553
GCA_000402355.1,FASTA,Protein,1206,330906,22,274.4,4154
GCA_000402515.1,FASTA,Protein,1342,313497,20,233.6,1955
GCA_000402775.1,FASTA,Protein,1507,409908,20,272,2236
GCA_000405225.1,FASTA,Protein,674,162467,30,241,2240
GCA_000405245.1,FASTA,Protein,525,134218,27,255.7,2065
GCA_000415965.1,FASTA,Protein,3489,841595,30,241.2,2296
GCA_000415985.1,FASTA,Protein,3794,890560,30,234.7,2288
GCA_000416005.1,FASTA,Protein,4294,708609,27,165,2414
GCA_000416085.1,FASTA,Protein,3041,756255,30,248.7,3138
GCA_000484975.1,FASTA,Protein,1322,314929,29,238.2,2154
GCA_000494145.1,FASTA,Protein,1339,359410,25,268.4,3530
GCA_000494185.1,FASTA,Protein,780,212000,26,271.8,1178
GCA_000495735.1,FASTA,Protein,1567,444598,25,283.7,1543
GCA_000496135.1,FASTA,Protein,1714,489620,30,285.7,1715
GCA_000496175.1,FASTA,Protein,2887,759940,30,263.2,1861
GCA_000496195.1,FASTA,Protein,2467,630838,30,255.7,1943
GCA_000496215.1,FASTA,Protein,2557,614027,23,240.1,1747
GCA_000496235.1,FASTA,Protein,3000,744658,30,248.2,1886
GCA_000499765.1,FASTA,Protein,2022,564035,30,278.9,2655
GCA_000508305.1,FASTA,Protein,2208,607687,30,275.2,1453
GCA_000565255.1,FASTA,Protein,2036,540863,26,265.6,1454
